articleId,channelId,sourceId,title,publishDate,passedPreFilter,preFilterReason,fromCache,calledAi,durationMs,tokens,isActivity,confidence,type,activityTitle,startAt,endAt,location,registration,summary,isActivity
51132,announcement,gwt-xingzheng,. 关于全日制本科生缴纳2025-2026学年第二学期学分学费的通知,4/20/2026,FALSE,,FALSE,TRUE,736,1601,FALSE,0.95,,,,,,,,0
51131,announcement,gwt-xuegong,. 关于开展2026年澳门科技大学暑期研学项目线上宣讲会的通知,4/20/2026,TRUE,title:宣讲会,FALSE,TRUE,944,1527,TRUE,0.95,宣讲会,澳门科技大学暑期研学项目线上宣讲会,2026-04-27T17:30,,线上,腾讯会议，会议ID：362-428-072,澳门科技大学暑期研学项目线上宣讲会，讲解项目行程规划、报名流程等，并进行实时答疑。,1
51130,announcement,gwt-keyan,. 关于城市交通与物流学院邓国明老师《基于智能化虚拟工程的运载工具绕流控制及其机理研究》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,409,1239,FALSE,0.95,,,,,,,,0
51129,announcement,gwt-keyan,. 关于集成电路与光电芯片学院钟础宇老师《用于激光雷达的优化台面排布的高热稳定性940nm波段 VCSEL阵列》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,449,1247,FALSE,0.95,,,,,,,,0
51128,announcement,gwt-keyan,. 关于中德智能制造学院兰陟老师《老年人移位助行机器人研发》项目拨付测试化验加工费的公示,4/20/2026,FALSE,,FALSE,TRUE,429,1229,FALSE,0.95,,,,,,,,0
51127,announcement,gwt-jiaowu,. 关于召开教学工作研讨会的通知,4/20/2026,FALSE,,FALSE,TRUE,426,1209,FALSE,0.95,,,,,,,,0
51126,announcement,gwt-keyan,. 关于健康与环境工程学院李丹阳博士后开题考核报告会的通知,4/20/2026,FALSE,,FALSE,TRUE,439,1219,FALSE,0.95,,,,,,,,0
51125,announcement,gwt-keyan,. 关于举办“中国宏观展望”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,518,1227,TRUE,0.95,讲座,中国宏观展望,,,,,关于举办“中国宏观展望”讲座的通知。,1
51124,announcement,gwt-keyan,. 关于举办“如何打造自己的学术生产力”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,524,1228,TRUE,0.95,讲座,如何打造自己的学术生产力,,,,,关于举办学术生产力讲座的通知。,1
51123,announcement,gwt-xingzheng,. 关于组织参加教育部2026年高校实验室安全工作培训的通知,4/20/2026,FALSE,,FALSE,TRUE,426,1217,FALSE,0.95,,,,,,,,0
51122,announcement,gwt-xiaoyuan,. 喜报：我校青年教师冯谢卓仪勇夺世界体育舞蹈公开赛奖项,4/20/2026,FALSE,,FALSE,TRUE,431,1220,FALSE,0.95,,,,,,,,0
51121,announcement,gwt-xingzheng,. 关于开展谈话调研有关工作的预通知,4/20/2026,FALSE,,FALSE,TRUE,426,1311,FALSE,0.95,,,,,,,,0
51120,announcement,gwt-xiaoyuan,. 关于举办2026年深圳技术大学“校长杯”乒乓球团体赛的通知,4/20/2026,TRUE,body:将于+date,FALSE,TRUE,1071,1521,TRUE,0.95,比赛,2026年深圳技术大学“校长杯”乒乓球团体赛,5/23/2026,5/31/2026,体育馆一楼乒乓球室,报名截止 5月15日，领队会议 5月19日,2026年深圳技术大学“校长杯”乒乓球团体赛将于5月23日至31日举行。,1
51119,announcement,gwt-xuegong,. 关于举办“启航职场---就业权益保障与理性维权”讲座的通知,4/20/2026,TRUE,title:讲座,FALSE,TRUE,1007,1631,TRUE,0.98,讲座,启航职场---就业权益保障与理性维权,2026-04-21T15:00,,C5公共教学楼202教室,,“启航职场---就业权益保障与理性维权”专题讲座，于2026年4月21日下午15:00在C5公共教学楼202教室举行。,1
51118,announcement,gwt-jiaowu,. 关于省级质量工程建设项目2025年度校内验收评审结果的公示,4/17/2026,FALSE,,FALSE,TRUE,425,1405,FALSE,0.95,,,,,,,,0
51117,announcement,gwt-xiaoyuan,. 关于深圳技术大学第六届ACM程序设计竞赛及暑期集训报名的通知,4/17/2026,TRUE,title:竞赛,FALSE,TRUE,1247,1992,TRUE,0.98,比赛,深圳技术大学第六届ACM程序设计竞赛及暑期集训,2026-05-10T10:00,2026-05-10T16:30,C-5教学楼指定机房、C-1人工智能学院 105阶梯教室,网络报名，加入QQ群并填写报名表，扫描二维码,深圳技术大学第六届ACM程序设计竞赛将于5月10日举行，包含正式比赛和颁奖典礼，同时开展暑期集训。,1
51116,announcement,gwt-xuegong,. 关于2026年秋季学期俄罗斯国家研究型高等经济大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,959,2040,TRUE,0.95,交换项目,俄罗斯国家研究型高等经济大学2026秋季交换项目,9/1/2026,2/28/2027,,线上申请，截止5月12日,2026年秋季学期俄罗斯高等经济大学交换项目，面向我校本科生及研究生，5月12日前报名。,1
51115,announcement,gwt-xuegong,. 关于2026年秋季学期德国德累斯顿工程和经济应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,996,2052,TRUE,0.95,交换项目,德国德累斯顿工程和经济应用技术大学2026秋季交换项目,9/1/2026,2/28/2027,,线上申请，截止6月1日,2026年秋季学期德国德累斯顿工程和经济应用技术大学交换项目，6月1日前报名。,1
51114,announcement,gwt-xuegong,. 关于2026年秋季学期德国康斯坦茨应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,1020,2000,TRUE,0.95,交换项目,德国康斯坦茨应用技术大学2026秋季交换项目,9/1/2026,2/28/2027,,线上申请，截止 2026-06-01,2026年秋季学期德国康斯坦茨应用技术大学交换项目，6月1日前报名。,1
51113,announcement,gwt-xuegong,. 关于2026年秋季学期德国代根多夫应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,968,1972,TRUE,0.95,交换项目,德国代根多夫应用技术大学2026秋季交换项目,9/1/2026,2/28/2027,,线上申请，截止5月18日,2026年秋季学期德国代根多夫应用技术大学交换项目，5月18日前报名。,1
51112,announcement,gwt-xingzheng,. 关于开展树立和践行正确政绩观学习教育专题网络培训的通知,4/17/2026,FALSE,,FALSE,TRUE,424,1217,FALSE,0.95,,,,,,,,0
51111,announcement,gwt-xuegong,. 关于2026年秋季学期德国肯普滕应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,707,1262,TRUE,0.88,交换项目,德国肯普滕应用技术大学 2026 秋季交换项目,,,,,2026年秋季学期德国肯普滕应用技术大学交换项目报名通知。,1
51110,announcement,gwt-xuegong,. 关于2026年秋季学期德国富尔达应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,688,1262,TRUE,0.88,交换项目,德国富尔达应用技术大学 2026 秋季交换项目,,,,,2026年秋季学期德国富尔达应用技术大学交换项目报名通知。,1
51108,announcement,gwt-xiaoyuan,. 关于防范校园蛇类伤害的安全提示,4/17/2026,FALSE,,FALSE,TRUE,511,1210,FALSE,0.95,,,,,,,,0
51107,announcement,gwt-xuegong,. 关于2026年秋季学期德国兰茨胡特应用技术大学交换项目报名的通知,4/17/2026,TRUE,title:交换项目,FALSE,TRUE,724,1265,TRUE,0.85,交换项目,德国兰茨胡特应用技术大学 2026 秋季交换项目,,,,,2026年秋季学期德国兰茨胡特应用技术大学交换项目报名通知。,1
51106,announcement,gwt-xingzheng,. 关于开展学校“党建好案例、书记好党课、党员好榜样”展评活动的通知,4/17/2026,TRUE,body:参加+date,FALSE,TRUE,467,3107,FALSE,0.95,,,,,,,,1
51105,announcement,gwt-keyan,. 关于工程物理学院蒋轲老师《相对论强流电子束在低密度多孔材料中的超通道输运及辐射特征研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,491,1529,FALSE,0.95,,,,,,,,0
51104,announcement,gwt-keyan,. 关于中德智能制造学院龚梦成老师《扫描激光-电弧复合增材制造智能装备与关键技术研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,489,1237,FALSE,0.95,,,,,,,,0
51103,announcement,gwt-keyan,. 关于未来技术学院唐定远老师《稀士掺杂倍半氧化物基激光陶瓷中的色心及特性研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,533,1239,FALSE,0.95,,,,,,,,0
51102,announcement,gwt-keyan,. 关于中德智能制造学院姚志富老师《激光增材制造用新型高性能高温高熵合金设计及性能研究》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,410,1238,FALSE,0.95,,,,,,,,0
51101,announcement,gwt-xuegong,. 关于开展2024-2025学年“启德留学专项”奖学金评选的通知,4/17/2026,FALSE,,FALSE,TRUE,398,1225,FALSE,0.95,,,,,,,,0
51100,announcement,gwt-keyan,. 关于新材料与新能源学院单通老师《有机光电探测器与光传感面阵集成》项目拨付测试化验加工费的公示,4/17/2026,FALSE,,FALSE,TRUE,490,1233,FALSE,0.95,,,,,,,,0
51099,announcement,gwt-xingzheng,. 关于开展2026年网络与数据安全应急演练活动的通知,4/17/2026,FALSE,,FALSE,TRUE,594,1244,TRUE,0.9,演练,2026年网络与数据安全应急演练活动,,,,,2026年网络与数据安全应急演练活动。,0
51098,announcement,gwt-xuegong,. 关于做好深圳技术大学第八次学生代表大会筹备工作的通知,4/17/2026,FALSE,,FALSE,TRUE,409,1215,FALSE,0.95,,,,,,,,0
51097,announcement,gwt-jiaowu,. 转发广东省教育厅关于开展2026年国家智慧教育平台全面深化应用教师数字素养提升实践活动的通知,4/17/2026,TRUE,body:举办+date,FALSE,TRUE,1113,1872,TRUE,0.92,其他,国家智慧教育平台全面深化应用教师数字素养提升实践活动,2026-04-21T09:00,,线上,待收到操作指引后补充通知，具体提交截止时间：5月17日（用AI、创AI、护AI案例），7月6日（岭南文化类微课）,教师数字素养提升实践活动，包含多个案例征集项目，线上主题学习于4月21日举行。,1
51096,announcement,gwt-jiaowu,. 关于开展申硕材料精修工作的通知,4/17/2026,FALSE,,FALSE,TRUE,413,1212,FALSE,0.95,,,,,,,,0
51095,announcement,gwt-jiaowu,. 关于组织开展硕士学位授权点申请培养方案制定工作的通知,4/17/2026,FALSE,,FALSE,TRUE,401,1214,FALSE,0.95,,,,,,,,0
51094,announcement,gwt-xiaoyuan,. 关于第十六届全国大学生电子商务 “创新、创意及创业”挑战赛校赛获奖名单的公示,4/16/2026,FALSE,,FALSE,TRUE,428,1224,FALSE,0.95,,,,,,,,0
51093,announcement,gwt-keyan,. 关于开展省教育科技人才一体改革第一批重点实践场景建设试点的申报通知,4/16/2026,FALSE,,FALSE,TRUE,410,1218,FALSE,0.95,,,,,,,,0
51092,announcement,gwt-xingzheng,. 关于进一步加强采购需求管理的通知,4/16/2026,FALSE,,FALSE,TRUE,468,1209,FALSE,0.95,,,,,,,,0
51091,announcement,gwt-xuegong,. 关于2026年秋季学期德国因戈尔施塔特应用技术大学交换项目报名的通知,4/16/2026,TRUE,title:交换项目,FALSE,TRUE,755,1271,TRUE,0.92,交换项目,德国因戈尔施塔特应用技术大学 2026 秋季交换项目,,,,,2026年秋季学期德国因戈尔施塔特应用技术大学交换项目报名通知。,1
51090,announcement,gwt-xuegong,. 关于2026年秋季学期德国波恩-莱茵-锡格应用技术大学交换项目报名的通知,4/16/2026,TRUE,title:交换项目,FALSE,TRUE,1021,1277,TRUE,0.85,交换项目,德国波恩-莱茵-锡格应用技术大学 2026 秋季交换项目,,,,,2026年秋季学期德国波恩-莱茵-锡格应用技术大学交换项目报名通知。,1
51089,announcement,gwt-xuegong,. 关于2026年秋季学期德国卡尔斯鲁厄应用技术大学交换项目报名的通知,4/16/2026,TRUE,title:交换项目,FALSE,TRUE,921,1263,TRUE,0.88,交换项目,德国卡尔斯鲁厄应用技术大学 2026 秋季交换项目,,,,,2026秋季学期德国卡尔斯鲁厄应用技术大学交换项目报名。,1
51088,announcement,gwt-xuegong,. 关于2026年秋季学期德国维尔茨堡-施韦因富特应用技术大学交换项目报名的通知,4/16/2026,TRUE,title:交换项目,FALSE,TRUE,767,1279,TRUE,0.92,交换项目,德国维尔茨堡-施韦因富特应用技术大学 2026 秋季交换项目,,,,,2026秋季学期德国维尔茨堡-施韦因富特应用技术大学交换项目报名通知。,1
51087,announcement,gwt-keyan,. 关于举办“技大讲坛”第一百二十一讲的通知,4/16/2026,TRUE,title:讲坛,FALSE,TRUE,1111,1582,TRUE,0.95,讲座,技大讲坛第一百二十一讲,2026-04-17T10:00,2026-04-17T11:30,深圳技术大学 D-1城市交通与物流学院楼502,,技大讲坛第121讲，主题为人工智能体涌现行为的并发理论的探索，由Hua ji教授主讲。,1
51086,announcement,gwt-keyan,. 关于城市交通与物流学院杨霞老师《数据-模型驱动的城市暴雨洪涝应急管理:多模式动态交通网络模型方法》项目拨付测试化验加工费的公示,4/16/2026,FALSE,,FALSE,TRUE,423,1240,FALSE,0.95,,,,,,,,0
51085,announcement,gwt-xuegong,. 关于2026年秋季学期德国奥斯纳布吕克应用技术大学交换项目报名的通知,4/16/2026,TRUE,title:交换项目,FALSE,TRUE,738,1267,TRUE,0.88,交换项目,德国奥斯纳布吕克应用技术大学 2026 秋季交换项目,,,,,2026秋季学期德国奥斯纳布吕克应用技术大学交换项目报名通知。,1
51084,announcement,gwt-xuegong,. 拟发放2026届高校毕业生求职创业补贴人员公示（第十九批）,4/16/2026,FALSE,,FALSE,TRUE,423,1222,FALSE,0.95,,,,,,,,0
51083,announcement,gwt-xuegong,. 关于2026年秋季学期德国纽伦堡应用技术大学交换项目报名的通知,4/16/2026,TRUE,title:交换项目,FALSE,TRUE,764,1261,TRUE,0.88,交换项目,德国纽伦堡应用技术大学 2026 秋季交换项目,,,,,2026秋季学期德国纽伦堡应用技术大学交换项目报名通知。,1
51082,announcement,gwt-xiaoyuan,. 关于举办信息素养培训的通知（讲座时间有更新）,4/16/2026,TRUE,title:讲座,FALSE,TRUE,1322,1681,TRUE,0.98,讲座,信息素养培训,2026-04-21T14:30,2026-04-21T15:30,图书馆118多功能厅,,信息素养培训，第一场于4月21日14:30在图书馆118多功能厅举行，主题为解锁图书馆数字资源，助力科研学习（人文社科类）。,1
51081,announcement,gwt-xiaoyuan,. 关于开展校园信息化服务综合体验调研问卷与信息化服务质量提升座谈会的通知,4/16/2026,TRUE,body:举办+date,FALSE,TRUE,1804,1500,TRUE,0.92,座谈会,校园信息化服务质量提升座谈会,2026-05-12T14:30,2026-05-12T16:30,C5公共教学楼571会议室,通过链接或扫码参与,信息中心举办信息化服务质量提升座谈会，5月12日14:30-16:30在C5公共教学楼571会议室举行。,0
51078,announcement,gwt-xiaoyuan,. 关于规范校园周边电动自行车管理的温馨提醒,4/16/2026,FALSE,,FALSE,TRUE,492,1212,FALSE,0.95,,,,,,,,0
51077,announcement,gwt-xingzheng,. 关于召开巡视自查整改工作推进会的通知,4/16/2026,FALSE,,FALSE,TRUE,403,1211,FALSE,0.95,,,,,,,,0
51076,announcement,gwt-xiaoyuan,. 关于清理废旧自行车的通知,4/16/2026,FALSE,,FALSE,TRUE,405,1207,FALSE,0.95,,,,,,,,0
51075,announcement,gwt-xingzheng,. 关于启动2026年上半年行政人员聘期考核的通知,4/16/2026,FALSE,,FALSE,TRUE,522,1215,FALSE,0.95,,,,,,,,0
51074,announcement,gwt-xingzheng,. 关于启动2026年上半年教师、实验系列人员聘期考核的通知,4/16/2026,FALSE,,FALSE,TRUE,553,1218,FALSE,0.95,,,,,,,,0
51073,announcement,gwt-keyan,. 关于征集新一代人工智能国家科技重大专项人工智能驱动科学研究（AI4S）领域相关专家的通知,4/15/2026,FALSE,,FALSE,TRUE,478,1222,FALSE,0.95,,,,,,,,0
51072,announcement,gwt-keyan,. 关于人工智能学院肖婧老师《基于可学习群智演化计算的模糊高阶社区发现》项目拨付测试化验加工费的公示,4/15/2026,FALSE,,FALSE,TRUE,419,1233,FALSE,0.95,,,,,,,,
51071,announcement,gwt-keyan,. 关于城市交通与物流学院周伟健老师《低碳零碳混合动力关键技术研究》项目拨付测试化验加工费的公示,4/15/2026,FALSE,,FALSE,TRUE,413,1231,FALSE,0.95,,,,,,,,0
51070,announcement,gwt-xingzheng,. 关于进一步加强校园消防安全工作的通知,4/15/2026,FALSE,,FALSE,TRUE,407,1209,FALSE,0.95,,,,,,,,0
51069,announcement,gwt-xiaoyuan,. 【代校学生社团管理中心发】关于举办“寻声而至·春意共鸣”深圳技术大学第七届校园十大歌手决赛的通知,4/15/2026,TRUE,title:决赛,FALSE,TRUE,1127,1530,TRUE,0.98,比赛,第七届校园十大歌手决赛,2026-04-18T19:00,,C-4会堂,扫描二维码关注公众号获取门票，公众号同步直播,第七届校园十大歌手决赛将于4月18日晚7点在C-4会堂举行，观众可通过公众号获取门票并观看直播。,1
51068,announcement,gwt-xingzheng,. 关于报送2026年度职工疗休养计划的通知,4/15/2026,FALSE,,FALSE,TRUE,527,1215,FALSE,0.95,,,,,,,,0
51067,announcement,gwt-keyan,. 关于人工智能学院博士后出站考核报告会的通知,4/15/2026,FALSE,,FALSE,TRUE,427,1213,FALSE,0.95,,,,,,,,0
51066,announcement,gwt-jiaowu,. 关于延期举行教学工作研讨会的通知,4/15/2026,FALSE,,FALSE,TRUE,408,1210,FALSE,0.95,,,,,,,,0
51065,announcement,gwt-xuegong,. 关于深圳技术大学与德国维尔茨堡-施韦因富特应用技术大学2026年暑期文化交流项目报名的通知,4/14/2026,TRUE,title:报名,FALSE,TRUE,1244,2042,TRUE,0.98,暑期项目,深圳技术大学与德国维尔茨堡-施韦因富特应用技术大学2026年暑期文化交流项目,7/21/2026,7/29/2026,德国维尔茨堡-施韦因富特,4月17日前发送简历至zhaojianwei@szru.edu.cn,2026年暑期文化交流项目，7月21日至29日举行，招募20名本科生，需在4月17日前报名。,1
51064,announcement,gwt-xuegong,. 关于举办2026年"5·25”大学生心理健康教育月系列活动的通知,4/14/2026,TRUE,body:举办+date,FALSE,TRUE,971,1967,TRUE,0.92,其他,2026年"5·25"大学生心理健康教育月系列活动,5/5/2026,,,请各学院于2026年5月5日20:00前报送作品,2026年“5·25”大学生心理健康教育月系列活动，各学院需于5月5日前报送参赛作品。,1
51063,announcement,gwt-jiaowu,. 关于召开教学工作研讨会的通知,4/14/2026,FALSE,,FALSE,TRUE,423,1209,FALSE,0.95,,,,,,,,0
51062,announcement,gwt-keyan,. 关于开展2026年世界互联网大会领先科技奖申报和“携手构建网络空间命运共同体”实践案例征集的通知,4/14/2026,FALSE,,FALSE,TRUE,441,1511,FALSE,0.95,,,,,,,,0
51061,announcement,gwt-xingzheng,. 关于开展校级重点建设学科遴选工作的通知,4/14/2026,FALSE,,FALSE,TRUE,490,1900,FALSE,0.95,,,,,,,,0
51060,announcement,gwt-xingzheng,. 关于我校部分应税服务适用简易计税方法开具发票的通知,4/14/2026,FALSE,,FALSE,TRUE,419,1216,FALSE,0.95,,,,,,,,0
51059,announcement,gwt-xiaoyuan,. 关于举办2026年深圳技术大学创新创业师资能力提升训练营的通知,4/14/2026,TRUE,title:训练营,FALSE,TRUE,1201,2070,TRUE,0.98,训练营,2026年深圳技术大学创新创业师资能力提升训练营,4/23/2026,4/24/2026,D3中德智能制造学院-310教室,扫码报名，截止 2026-04-17,2026年深圳技术大学创新创业师资能力提升训练营，4月23日至24日举行，地点在D3中德智能制造学院-310教室。,1
51057,announcement,gwt-xingzheng,. 关于开展师德师风建设自查整改的通知,4/14/2026,FALSE,,FALSE,TRUE,408,1212,FALSE,0.95,,,,,,,,0
51056,announcement,gwt-keyan,. 关于未来技术学院任昱昊博士后开题考核报告会的通知,4/14/2026,FALSE,,FALSE,TRUE,421,1217,FALSE,0.95,,,,,,,,0
51055,announcement,gwt-xiaoyuan,. 第七届全国供应链大赛报名及校赛通知（供应链实战赛项&商贸供应链运营赛项）,4/14/2026,TRUE,title:大赛,FALSE,TRUE,705,1261,TRUE,0.92,比赛,第七届全国供应链大赛报名及校赛,,,,报名方式待定,第七届全国供应链大赛报名及校赛通知，包含供应链实战赛项和商贸供应链运营赛项。,1
51054,announcement,gwt-xingzheng,. 关于延期开展警示教育活动的通知,4/14/2026,FALSE,,FALSE,TRUE,506,1208,FALSE,0.95,,,,,,,,0
