hop	method	status	URL	bodyLen	newCookies	nextLocation
1	GET	302	https://jwxt-sztu-edu-cn.webvpn.sztu.edu.cn:8118/	0	[]	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/
2	GET	302	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/	0	[]	https://jwxt-sztu-edu-cn.webvpn.sztu.edu.cn:8118/Logon.do?method=logonSSOszjsdx
3	GET	302	https://jwxt-sztu-edu-cn.webvpn.sztu.edu.cn:8118/Logon.do?method=logonSSOszjsdx	0	[]	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/Logon.do?method=logonSSOszjsdx
4	GET	302	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/Logon.do?method=logonSSOszjsdx	0	[]	https://auth-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/idp/oauth2/authorize?redirect_uri=https%3A%2F%2Fjwxt.sztu.edu.cn%2FLogon.do%3Fmethod%3DlogonSSOszjsdx&state=1111&client_id=jiaowu&response_type=code
5	GET	302	https://auth-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/idp/oauth2/authorize?redirect_uri=https%3A%2F%2Fjwxt.sztu.edu.cn%2FLogon.do%3Fmethod%3DlogonSSOszjsdx&state=1111&client_id=jiaowu&response_type=code	0	[]	https://auth-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/idp/AuthnEngine
6	GET	302	https://auth-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/idp/AuthnEngine	0	[]	https://auth-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/idp/profile/OAUTH2/AuthorizationCode/SSO
7	GET	302	https://auth-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/idp/profile/OAUTH2/AuthorizationCode/SSO	0	[]	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/Logon.do?method=logonSSOszjsdx&code=7db42e12046463848ac66b0594059555&state=1111
8	GET	302	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/Logon.do?method=logonSSOszjsdx&code=7db42e12046463848ac66b0594059555&state=1111	0	[]	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/jsxsd/xk/LoginToXk?method=jwxt&ticqzket=82eea9c9a4d44171545d14afc2b9657956888ee49db8eb1c44e47eb014c5fd07821113b496498ac11d6dca725190926213dde59f32035558202529813490120729e8b73438b14852dab055bcc74cb4052299926264d9a18577b3479df0f566b601c7eebc8ed382e004c4a2c13747eae5
9	GET	302	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/jsxsd/xk/LoginToXk?method=jwxt&ticqzket=82eea9c9a4d44171545d14afc2b9657956888ee49db8eb1c44e47eb014c5fd07821113b496498ac11d6dca725190926213dde59f32035558202529813490120729e8b73438b14852dab055bcc74cb4052299926264d9a18577b3479df0f566b601c7eebc8ed382e004c4a2c13747eae5	0	[]	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/jsxsd/framework/xsMain.htmlx
10	GET	200	https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/jsxsd/framework/xsMain.htmlx	48437	[]	

finalUrl=https://jwxt-sztu-edu-cn-s.webvpn.sztu.edu.cn:8118/jsxsd/framework/xsMain.htmlx
